Id,ActivityId,InterventionId,FinishTime,ActivityType,InterventionType,CommodityType,Commodity,Weight
1683205,1683133,1683203,2019-01-01T04:15:47Z,Airport,Detected,Fruit & Veg,APRICOTS,0.05
1687298,1685874,1687297,2019-01-01T22:55:57Z,Airport,Declared,Fruit & Veg,BANANAS,0.3
1687350,1685874,1687349,2019-01-01T22:55:57Z,Airport,Detected,Fruit & Veg,APPLES,0.2
1687547,1685914,1687546,2019-01-01T23:20:09Z,Airport,Declared,Fruit & Veg,NECTARINES,0.2
1687815,1685994,1687769,2019-01-02T01:14:55Z,Airport,Detected,Fruit & Veg,TOMATOES,0.2
1688373,1686034,1688372,2019-01-02T01:45:06Z,Airport,Detected,Fruit & Veg,APPLES,0.3
1688811,1688745,1688810,2019-01-02T02:00:48Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
1688812,1688745,1688810,2019-01-02T02:00:48Z,Airport,Detected,Fruit & Veg,APPLES,0.2
1689369,1689286,1689368,2019-01-01T06:22:18Z,Airport,Detected,Fruit & Veg,CHERRY,0.5
1689370,1689286,1689368,2019-01-01T06:22:18Z,Airport,Detected,Fruit & Veg,NECTARINES,0.15
1689713,1689653,1689711,2019-01-01T09:14:24Z,Airport,Detected,Fruit & Veg,BLUEBERRIES,0.125
1689714,1689653,1689711,2019-01-01T09:14:24Z,Airport,Detected,Fruit & Veg,STRAWBERRIES,0.15
1689715,1689653,1689711,2019-01-01T09:14:24Z,Airport,Detected,Fruit & Veg,NECTARINES,0.45
1689716,1689653,1689711,2019-01-01T09:14:24Z,Airport,Detected,Fruit & Veg,APRICOTS,0.1
1689717,1689653,1689711,2019-01-01T09:14:24Z,Airport,Detected,Fruit & Veg,AVOCADOS,0.4
1690346,1686194,1690345,2019-01-02T05:25:40Z,Airport,Detected,Fruit & Veg,BANANAS,0.15
1690347,1686194,1690345,2019-01-02T05:25:40Z,Airport,Detected,Fruit & Veg,APPLES,0.3
1694423,1694384,1694422,2019-01-03T01:34:08Z,Airport,Declared,Fruit & Veg,NECTARINES,0.15
1695097,1694849,1694887,2019-01-03T02:25:29Z,Airport,Detected,Fruit & Veg,ORANGES,0.3
1697346,1697307,1697345,2019-01-02T09:58:01Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
1697660,1697621,1697659,2019-01-03T06:41:50Z,Airport,Detected,Fruit & Veg,CHERRY,1
1697726,1697687,1697725,2019-01-03T07:05:26Z,Airport,Detected,Fruit & Veg,BANANAS,0.1
1698786,1698475,1698785,2019-01-03T22:01:58Z,Airport,Detected,Fruit & Veg,MANGOES,0.1
1698905,1698215,1698904,2019-01-03T23:00:58Z,Airport,Detected,Fruit & Veg,GRAPES,0.2
1699051,1698235,1699050,2019-01-03T23:18:04Z,Airport,Detected,Fruit & Veg,STRAWBERRIES,0.1
1699409,1699010,1699408,2019-01-03T22:50:42Z,Airport,Declared,Fruit & Veg,BANANAS,0.4
1699429,1698215,1699428,2019-01-03T23:00:58Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
1699514,1698215,1699513,2019-01-03T23:00:58Z,Airport,Declared,Fruit & Veg,MANGOES,0.15
1699766,1698375,1699765,2019-01-04T01:31:38Z,Airport,Detected,Fruit & Veg,APPLES,0.1
1699805,1698375,1699785,2019-01-04T01:31:38Z,Airport,Declared,Fruit & Veg,BANANAS,0.3
1699786,1698375,1699785,2019-01-04T01:31:38Z,Airport,Declared,Fruit & Veg,APPLES,0.2
1699960,1698295,1699959,2019-01-03T23:30:29Z,Airport,Declared,Fruit & Veg,APPLES,0.6
1703174,1703036,1703154,2019-01-04T23:20:28Z,Airport,Detected,Fruit & Veg,BLUEBERRIES,0.125
1703155,1703036,1703154,2019-01-04T23:20:28Z,Airport,Detected,Fruit & Veg,PEACHES,0.15
1703239,1698555,1703238,2019-01-04T23:05:23Z,Airport,Detected,Fruit & Veg,NECTARINES,0.2
1703342,1703282,1703340,2019-01-04T22:50:29Z,Airport,Detected,Fruit & Veg,BLUEBERRIES,0.125
1703761,1703722,1703760,2019-01-05T01:15:42Z,Airport,Detected,Fruit & Veg,TOMATOES,0.1
1703873,1703834,1703872,2019-01-05T01:55:59Z,Airport,Detected,Fruit & Veg,STRAWBERRIES,0.1
1704023,1703984,1704022,2019-01-05T01:20:54Z,Airport,Detected,Fruit & Veg,NECTARINES,0.05
1704086,1704047,1704085,2019-01-05T01:40:03Z,Airport,Detected,Fruit & Veg,PEACHES,0.2
1704087,1704047,1704085,2019-01-05T01:40:03Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
1704272,1704193,1704271,2019-01-05T02:01:36Z,Airport,Detected,Fruit & Veg,BANANAS,0.3
1704352,1704193,1704351,2019-01-05T02:01:36Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
1704470,1704379,1704469,2019-01-04T21:50:44Z,Airport,Detected,Fruit & Veg,APPLES,0.15
1704491,1704379,1704489,2019-01-04T21:50:44Z,Airport,Declared,Fruit & Veg,CHERRY,0.15
1704877,1704798,1704876,2019-01-04T22:20:42Z,Airport,Declared,Fruit & Veg,CHERRY,0.15
1704897,1704798,1704896,2019-01-04T22:20:42Z,Airport,Declared,Fruit & Veg,BANANAS,0.15
1705089,1705050,1705088,2019-01-05T03:10:41Z,Airport,Detected,Fruit & Veg,STRAWBERRIES,0.025
1708685,1708646,1708684,2019-01-06T00:30:09Z,Airport,Declared,Fruit & Veg,APPLES,0.1
1709039,1709000,1709038,2019-01-06T01:00:35Z,Airport,Declared,Fruit & Veg,LIMES,0.1
1709917,1709858,1709916,2019-01-06T04:05:35Z,Airport,Detected,Fruit & Veg,PEACHES,0.2
1710138,1710099,1710137,2019-01-06T00:35:29Z,Airport,Detected,Fruit & Veg,NECTARINES,0.15
1712162,1712123,1712161,2019-01-06T09:21:54Z,Airport,Detected,Fruit & Veg,BANANAS,0.1
1713790,1713751,1713789,2019-01-06T21:30:44Z,Airport,Detected,Fruit & Veg,APPLES,0.6
1713889,1713451,1713832,2019-01-06T22:00:56Z,Airport,Declared,Fruit & Veg,CHERRY,0.2
1713890,1713451,1713832,2019-01-06T22:00:56Z,Airport,Declared,Fruit & Veg,APPLES,0.6
1713892,1713451,1713832,2019-01-06T22:00:56Z,Airport,Declared,Fruit & Veg,BLUEBERRIES,0.1
1713833,1713451,1713832,2019-01-06T22:00:56Z,Airport,Declared,Fruit & Veg,PEARS,2
1720816,1720263,1720815,2019-01-07T23:06:13Z,Airport,Detected,Fruit & Veg,APPLES,0.3
