"","Total","Total_lci","Total_uci"
"(Intercept)",-0.487359616972769,-0.768381145139047,-0.206338088806492
"LocationAirport_B",-0.542050585232133,-0.865865246409187,-0.218235924055079
"LocationAirport_C",-0.558700569445292,-0.843046301887521,-0.274354837003062
"LocationAirport_D",-0.218152452073073,-0.493955723849074,0.0576508197029278
"LocationAirport_E",-0.961653551234349,-1.29659476453716,-0.626712337931536
"LocationAirport_F",-1.22496620338386,-1.54004559945232,-0.909886807315413
"RegimeBI x 2",-0.0625979681041801,-0.125693677072972,0.000497740864611448
"RegimeDDT",0.355112296363421,0.321716185178272,0.38850840754857
"RegimeDDT + BI",0.40400971565106,0.365734537988036,0.442284893314085
"RegimeDDT x2",0.502345603666495,0.451749486421595,0.552941720911395
"sqrt.BagSearchCount.Z",0.205965465546407,0.199795190120462,0.212135740972352
"sqrt.PassengerCount.Z",0.61039380540468,0.58489508315806,0.6358925276513
