"","grpvar","term","grp","condval","condsd"
"1","FlightNumber:FlightOrigin","(Intercept)","FlightNo_1:State_E",0.0240729160694262,0.250499113568909
"2","FlightNumber:FlightOrigin","(Intercept)","FlightNo_10:State_B",0.0809992409902811,0.0675757418572902
"3","FlightNumber:FlightOrigin","(Intercept)","FlightNo_100:State_B",-0.0121530241084885,0.239153818985288
"4","FlightNumber:FlightOrigin","(Intercept)","FlightNo_101:State_E",-0.0713639859109272,0.191386052875875
"5","FlightNumber:FlightOrigin","(Intercept)","FlightNo_102:State_E",0.0429097526564971,0.0813425987383822
"6","FlightNumber:FlightOrigin","(Intercept)","FlightNo_103:State_E",0.309056537462901,0.181304195871701
"7","FlightNumber:FlightOrigin","(Intercept)","FlightNo_104:State_C",-0.0639878551611862,0.247821765994717
"8","FlightNumber:FlightOrigin","(Intercept)","FlightNo_105:State_E",-0.251652195970002,0.156709604272764
"9","FlightNumber:FlightOrigin","(Intercept)","FlightNo_106:State_B",-0.0705399820092087,0.247060831640283
"10","FlightNumber:FlightOrigin","(Intercept)","FlightNo_107:State_E",0.0384525701930388,0.150494756423281
"11","FlightNumber:FlightOrigin","(Intercept)","FlightNo_108:State_E",-0.0285894266988306,0.225134013377396
"12","FlightNumber:FlightOrigin","(Intercept)","FlightNo_109:State_E",-0.009914012188606,0.254355597596868
"13","FlightNumber:FlightOrigin","(Intercept)","FlightNo_11:State_E",-0.0749211077934028,0.0941984736375944
"14","FlightNumber:FlightOrigin","(Intercept)","FlightNo_110:State_E",-0.261620552112024,0.199034009675846
"15","FlightNumber:FlightOrigin","(Intercept)","FlightNo_111:State_E",0.184202289672099,0.143257514784376
"16","FlightNumber:FlightOrigin","(Intercept)","FlightNo_112:State_E",-0.188311068428828,0.192114971872478
"17","FlightNumber:FlightOrigin","(Intercept)","FlightNo_113:State_E",-0.0049990621924524,0.254976709511628
"18","FlightNumber:FlightOrigin","(Intercept)","FlightNo_114:State_E",-0.0443721051493302,0.22956559618893
"19","FlightNumber:FlightOrigin","(Intercept)","FlightNo_115:State_E",-0.00270260286943067,0.255268502751711
"20","FlightNumber:FlightOrigin","(Intercept)","FlightNo_116:State_E",-0.00362686260825744,0.255150942255183
"21","FlightNumber:FlightOrigin","(Intercept)","FlightNo_117:State_E",-0.00788541038424821,0.254611397980721
"22","FlightNumber:FlightOrigin","(Intercept)","FlightNo_118:State_E",-0.020424568469695,0.253042649323722
"23","FlightNumber:FlightOrigin","(Intercept)","FlightNo_119:State_B",-0.109991409597374,0.193185343042211
"24","FlightNumber:FlightOrigin","(Intercept)","FlightNo_12:State_E",-0.301722495276001,0.0487824285652115
"25","FlightNumber:FlightOrigin","(Intercept)","FlightNo_120:State_A",-0.282451749679621,0.109277490009273
"26","FlightNumber:FlightOrigin","(Intercept)","FlightNo_121:State_F",0.00737455146951348,0.186804612919631
"27","FlightNumber:FlightOrigin","(Intercept)","FlightNo_122:State_B",-0.200438888062959,0.191860127436904
"28","FlightNumber:FlightOrigin","(Intercept)","FlightNo_123:State_C",-0.140901266464488,0.0598525469807569
"29","FlightNumber:FlightOrigin","(Intercept)","FlightNo_124:State_E",-0.00310475713887726,0.20712376448504
"30","FlightNumber:FlightOrigin","(Intercept)","FlightNo_125:State_E",0.113340722315666,0.157811639949918
"31","FlightNumber:FlightOrigin","(Intercept)","FlightNo_126:State_E",0.242499736625452,0.136598025408848
"32","FlightNumber:FlightOrigin","(Intercept)","FlightNo_127:State_B",0.149895030292139,0.111071590262477
"33","FlightNumber:FlightOrigin","(Intercept)","FlightNo_128:State_E",-0.0250455261382522,0.237794923031949
