"","Total","Total_lci","Total_uci"
"(Intercept)",0.159674002010077,-0.0436192459657986,0.362967249985952
"LocationAirport_B",-1.0437510952099,-1.28555376685484,-0.801948423564966
"LocationAirport_C",-0.999778682668703,-1.20495379928813,-0.794603566049271
"LocationAirport_D",-0.588693179057236,-0.78379584949886,-0.393590508615612
"LocationAirport_E",-1.41727139156141,-1.66718125795383,-1.16736152516898
"LocationAirport_F",-1.08486779454885,-1.30510181949326,-0.864633769604453
"RegimeBI x 2",-0.0417534295406955,-0.0973727815317598,0.0138659224503689
"RegimeDDT",0.563817116934245,0.534705237447321,0.592928996421168
"RegimeDDT + BI",0.650304334110352,0.617711025084685,0.682897643136018
"RegimeDDT x2",0.740517103385616,0.69816051434332,0.782873692427912
"sqrt.BagSearchCount.Z",0.207400199155243,0.202369881290212,0.212430517020275
"sqrt.PassengerCount.Z",0.549873306910277,0.529585547466533,0.570161066354022
