"","Decle","Decle_lci","Decle_uci"
"(Intercept)",-1.05219856198715,-1.43358270617039,-0.670814417803912
"LocationAirport_B",-0.536168090321036,-0.968218527423482,-0.10411765321859
"LocationAirport_C",-0.649557004219469,-1.01045041056389,-0.28866359787505
"LocationAirport_D",0.205106344700533,-0.130033329514627,0.540246018915692
"LocationAirport_E",-1.32281658702263,-1.79603674196072,-0.849596432084552
"LocationAirport_F",-0.979824752861875,-1.35252829776476,-0.60712120795899
"RegimeBI x 2",-0.0321445212556751,-0.105819296891271,0.0415302543799207
"RegimeDDT",-0.236599004825913,-0.279102602463596,-0.194095407188229
"RegimeDDT + BI",0.14775878655333,0.0998030559980364,0.195714517108623
"RegimeDDT x2",-0.267381193415188,-0.352045475311523,-0.182716911518853
"sqrt.BagSearchCount.Z",0.201702266337903,0.1924787306989,0.210925801976907
"sqrt.PassengerCount.Z",0.505380804947559,0.469114992657726,0.541646617237392
