"","grpvar","term","grp","condval","condsd"
"1","FlightNumber:FlightOrigin","(Intercept)","FlightNo_1:State_E",-0.0378297090640858,0.431178258175303
"2","FlightNumber:FlightOrigin","(Intercept)","FlightNo_10:State_B",-0.162676139694315,0.142151624014003
"3","FlightNumber:FlightOrigin","(Intercept)","FlightNo_100:State_B",0.18389364910212,0.400850773482502
"4","FlightNumber:FlightOrigin","(Intercept)","FlightNo_101:State_E",0.450398925511043,0.304574291653989
"5","FlightNumber:FlightOrigin","(Intercept)","FlightNo_102:State_E",0.277040971316241,0.111216893274208
"6","FlightNumber:FlightOrigin","(Intercept)","FlightNo_103:State_E",-0.118284419214968,0.337716723695269
"7","FlightNumber:FlightOrigin","(Intercept)","FlightNo_104:State_C",-0.0561647195349966,0.427443091534254
"8","FlightNumber:FlightOrigin","(Intercept)","FlightNo_105:State_E",-0.436053438602624,0.31033105087742
"9","FlightNumber:FlightOrigin","(Intercept)","FlightNo_106:State_B",-0.078389889400242,0.423024201096121
"10","FlightNumber:FlightOrigin","(Intercept)","FlightNo_107:State_E",0.134231270766267,0.213878411365317
"11","FlightNumber:FlightOrigin","(Intercept)","FlightNo_108:State_E",-0.164233984518766,0.407148142962883
"12","FlightNumber:FlightOrigin","(Intercept)","FlightNo_109:State_E",-0.0221564730550629,0.434469241820392
"13","FlightNumber:FlightOrigin","(Intercept)","FlightNo_11:State_E",0.0753232516188255,0.17179196271448
"14","FlightNumber:FlightOrigin","(Intercept)","FlightNo_110:State_E",-0.355131529028765,0.289598575437003
"15","FlightNumber:FlightOrigin","(Intercept)","FlightNo_111:State_E",0.430965766101421,0.169276463477584
"16","FlightNumber:FlightOrigin","(Intercept)","FlightNo_112:State_E",-0.175949897786194,0.267971036705632
"17","FlightNumber:FlightOrigin","(Intercept)","FlightNo_113:State_E",-0.0112616781783644,0.436802482937399
"18","FlightNumber:FlightOrigin","(Intercept)","FlightNo_114:State_E",0.0347724108451827,0.353873086864303
"19","FlightNumber:FlightOrigin","(Intercept)","FlightNo_115:State_E",-0.00606719218126132,0.437928456759645
"20","FlightNumber:FlightOrigin","(Intercept)","FlightNo_116:State_E",-0.00593169570105174,0.437957945893228
"21","FlightNumber:FlightOrigin","(Intercept)","FlightNo_117:State_E",-0.0176565423298131,0.435428342431496
"22","FlightNumber:FlightOrigin","(Intercept)","FlightNo_118:State_E",-0.0449426249466232,0.429709553358293
"23","FlightNumber:FlightOrigin","(Intercept)","FlightNo_119:State_B",-0.232138297303177,0.312593459507476
