"","Decle","Decle_lci","Decle_uci"
"(Intercept)",-0.35791520602222,-0.678789877348737,-0.0370405346957027
"LocationAirport_B",-1.02419111272586,-1.38222245113264,-0.666159774319073
"LocationAirport_C",-1.09997565724333,-1.38331587219109,-0.816635442295568
"LocationAirport_D",-0.245563654127584,-0.498487970951687,0.00736066269651867
"LocationAirport_E",-1.75642276047641,-2.15544007728646,-1.35740544366635
"LocationAirport_F",-0.727506354303417,-0.993058188805406,-0.461954519801427
"RegimeBI x 2",-0.0362743516937885,-0.102624395107479,0.0300756917199018
"RegimeDDT",-0.234916650498908,-0.273192221969107,-0.196641079028708
"RegimeDDT + BI",0.188146434820367,0.145277258644126,0.231015610996608
"RegimeDDT x2",-0.250916397873672,-0.327153975135775,-0.174678820611569
"sqrt.BagSearchCount.Z",0.206277430802572,0.198120233202374,0.21443462840277
"sqrt.PassengerCount.Z",0.487198752922819,0.455050117384605,0.519347388461032
