"","grpvar","term","grp","condval","condsd"
"1","FlightNumber:FlightOrigin","(Intercept)","FlightNo_1:State_E",-0.0646339528956689,0.397271299301387
"2","FlightNumber:FlightOrigin","(Intercept)","FlightNo_10:State_B",-0.0159643018528065,0.123896277128595
"3","FlightNumber:FlightOrigin","(Intercept)","FlightNo_100:State_B",0.129953042083702,0.373441533580286
"4","FlightNumber:FlightOrigin","(Intercept)","FlightNo_101:State_E",0.478789167309485,0.277258208044138
"5","FlightNumber:FlightOrigin","(Intercept)","FlightNo_102:State_E",0.239482153562626,0.101553275674309
"6","FlightNumber:FlightOrigin","(Intercept)","FlightNo_103:State_E",-0.186393914970566,0.315752845875612
"7","FlightNumber:FlightOrigin","(Intercept)","FlightNo_104:State_C",-0.061099646809451,0.397954988408381
"8","FlightNumber:FlightOrigin","(Intercept)","FlightNo_105:State_E",-0.503971716451132,0.290064425520492
"9","FlightNumber:FlightOrigin","(Intercept)","FlightNo_106:State_B",-0.085119634019505,0.393535067900582
"10","FlightNumber:FlightOrigin","(Intercept)","FlightNo_107:State_E",0.16922151081828,0.192161376858186
"11","FlightNumber:FlightOrigin","(Intercept)","FlightNo_108:State_E",-0.17270508258803,0.37856817445455
"12","FlightNumber:FlightOrigin","(Intercept)","FlightNo_109:State_E",-0.0486266498000931,0.40028832987667
"13","FlightNumber:FlightOrigin","(Intercept)","FlightNo_11:State_E",0.0714827185602617,0.156036091165911
"14","FlightNumber:FlightOrigin","(Intercept)","FlightNo_110:State_E",-0.334207827417657,0.206904671021562
"15","FlightNumber:FlightOrigin","(Intercept)","FlightNo_111:State_E",0.20194553712139,0.125217342567073
"16","FlightNumber:FlightOrigin","(Intercept)","FlightNo_112:State_E",-0.573830917470524,0.218540094548925
"17","FlightNumber:FlightOrigin","(Intercept)","FlightNo_113:State_E",-0.0250321572742073,0.404865452810421
"18","FlightNumber:FlightOrigin","(Intercept)","FlightNo_114:State_E",0.352150194142938,0.252560715825349
"19","FlightNumber:FlightOrigin","(Intercept)","FlightNo_115:State_E",-0.013570108605949,0.407147288536502
"20","FlightNumber:FlightOrigin","(Intercept)","FlightNo_116:State_E",-0.00658480402701843,0.408557257843785
"21","FlightNumber:FlightOrigin","(Intercept)","FlightNo_117:State_E",-0.0389753077504039,0.402141483033385
"22","FlightNumber:FlightOrigin","(Intercept)","FlightNo_118:State_E",-0.0961662988856395,0.391525324407312
"23","FlightNumber:FlightOrigin","(Intercept)","FlightNo_119:State_B",-0.157654210336212,0.281184814136618
"24","FlightNumber:FlightOrigin","(Intercept)","FlightNo_12:State_E",-0.540274287733226,0.0944683478035766
"25","FlightNumber:FlightOrigin","(Intercept)","FlightNo_120:State_A",-0.177257948925396,0.187862797791185
"26","FlightNumber:FlightOrigin","(Intercept)","FlightNo_121:State_F",-0.136150012756704,0.264005785956804
"27","FlightNumber:FlightOrigin","(Intercept)","FlightNo_122:State_B",-0.0425344214589768,0.268568989391322
"28","FlightNumber:FlightOrigin","(Intercept)","FlightNo_123:State_C",-0.148971522100115,0.0972535364974498
"29","FlightNumber:FlightOrigin","(Intercept)","FlightNo_124:State_E",-0.0654473167366161,0.223792053117331
"30","FlightNumber:FlightOrigin","(Intercept)","FlightNo_125:State_E",0.010566153604352,0.147903071146406
"31","FlightNumber:FlightOrigin","(Intercept)","FlightNo_126:State_E",0.0695708043884468,0.128671030293813
"32","FlightNumber:FlightOrigin","(Intercept)","FlightNo_127:State_B",0.333709558406216,0.14089511743873
"33","FlightNumber:FlightOrigin","(Intercept)","FlightNo_128:State_E",-0.150580676282586,0.319111551738587
"34","FlightNumber:FlightOrigin","(Intercept)","FlightNo_129:State_E",0.168684003254989,0.160520243327206
"35","FlightNumber:FlightOrigin","(Intercept)","FlightNo_13:State_E",-0.481278857594924,0.105313391912893
"36","FlightNumber:FlightOrigin","(Intercept)","FlightNo_130:State_E",-0.190408763258738,0.375752964138025
"37","FlightNumber:FlightOrigin","(Intercept)","FlightNo_131:State_B",0.389222303672438,0.105498428135793
"38","FlightNumber:FlightOrigin","(Intercept)","FlightNo_131:State_E",0.142537011108059,0.288265828634274
"39","FlightNumber:FlightOrigin","(Intercept)","FlightNo_132:State_F",-0.0613902489162636,0.160652192940774
"40","FlightNumber:FlightOrigin","(Intercept)","FlightNo_133:State_E",0.425146917431833,0.0811277434639546
"41","FlightNumber:FlightOrigin","(Intercept)","FlightNo_134:State_E",-0.0393355790820717,0.402071836640915
"42","FlightNumber:FlightOrigin","(Intercept)","FlightNo_135:State_C",-0.121789594476768,0.158790512283144
"43","FlightNumber:FlightOrigin","(Intercept)","FlightNo_136:State_B",0.0358615791134922,0.116386005365875
"44","FlightNumber:FlightOrigin","(Intercept)","FlightNo_136:State_E",-0.197143287719914,0.134637710883795
"45","FlightNumber:FlightOrigin","(Intercept)","FlightNo_137:State_B",0.152145206908806,0.103708330911757
"46","FlightNumber:FlightOrigin","(Intercept)","FlightNo_138:State_E",-0.00658499523121479,0.130026086555768
"47","FlightNumber:FlightOrigin","(Intercept)","FlightNo_139:State_E",0.219999706087947,0.109404805707017
"48","FlightNumber:FlightOrigin","(Intercept)","FlightNo_14:State_B",-0.151999604694291,0.0827952297337144
"49","FlightNumber:FlightOrigin","(Intercept)","FlightNo_140:State_E",0.732950422876134,0.233763407983583
"50","FlightNumber:FlightOrigin","(Intercept)","FlightNo_141:State_E",0.302454276400134,0.374005942481326
"51","FlightNumber:FlightOrigin","(Intercept)","FlightNo_142:State_E",0.519565772226441,0.117472955412514
"52","FlightNumber:FlightOrigin","(Intercept)","FlightNo_143:State_A",-0.132234391391255,0.217947691607329
"53","FlightNumber:FlightOrigin","(Intercept)","FlightNo_144:State_E",-0.298595951006038,0.155701088364554
"54","FlightNumber:FlightOrigin","(Intercept)","FlightNo_145:State_B",0.403389537485772,0.112869976472384
"55","FlightNumber:FlightOrigin","(Intercept)","FlightNo_146:State_E",-0.17402108678624,0.0996518540979671
"56","FlightNumber:FlightOrigin","(Intercept)","FlightNo_147:State_F",-0.169467046434574,0.13755683853269
"57","FlightNumber:FlightOrigin","(Intercept)","FlightNo_148:State_E",0.0181307023502149,0.0892380462821079
"58","FlightNumber:FlightOrigin","(Intercept)","FlightNo_149:State_E",-0.0301105434313516,0.0766974212821173
"59","FlightNumber:FlightOrigin","(Intercept)","FlightNo_15:State_C",0.0297831680272185,0.117444597578516
"60","FlightNumber:FlightOrigin","(Intercept)","FlightNo_150:State_E",0.677965803656981,0.109273948220356
"61","FlightNumber:FlightOrigin","(Intercept)","FlightNo_151:State_C",0.149257748913433,0.248557219255816
"62","FlightNumber:FlightOrigin","(Intercept)","FlightNo_152:State_B",0.260766549255812,0.395324938368113
"63","FlightNumber:FlightOrigin","(Intercept)","FlightNo_153:State_C",-0.0885834531708748,0.103633514472083
"64","FlightNumber:FlightOrigin","(Intercept)","FlightNo_154:State_E",0.375644849627369,0.137141733950632
"65","FlightNumber:FlightOrigin","(Intercept)","FlightNo_155:State_B",-0.154461574151491,0.136395091566114
"66","FlightNumber:FlightOrigin","(Intercept)","FlightNo_155:State_E",0.0566915613056841,0.190007644822492
"67","FlightNumber:FlightOrigin","(Intercept)","FlightNo_156:State_D",-0.123892556609254,0.386929265427434
"68","FlightNumber:FlightOrigin","(Intercept)","FlightNo_157:State_E",0.448387462701194,0.165634968727589
"69","FlightNumber:FlightOrigin","(Intercept)","FlightNo_158:State_E",-0.0420549674420468,0.401547319655809
"70","FlightNumber:FlightOrigin","(Intercept)","FlightNo_159:State_E",0.138086441116934,0.191557596307162
"71","FlightNumber:FlightOrigin","(Intercept)","FlightNo_16:State_E",-0.69255263560729,0.101717342296572
"72","FlightNumber:FlightOrigin","(Intercept)","FlightNo_160:State_E",-0.00297258715099968,0.334212859903489
"73","FlightNumber:FlightOrigin","(Intercept)","FlightNo_161:State_D",-0.0996870012425988,0.179694828577938
"74","FlightNumber:FlightOrigin","(Intercept)","FlightNo_162:State_D",0.244551405248153,0.392506288707135
"75","FlightNumber:FlightOrigin","(Intercept)","FlightNo_163:State_F",0.637799320132149,0.155275768674933
"76","FlightNumber:FlightOrigin","(Intercept)","FlightNo_164:State_B",-0.217049599720961,0.371774958758913
"77","FlightNumber:FlightOrigin","(Intercept)","FlightNo_165:State_C",0.245649201731841,0.229292661309507
"78","FlightNumber:FlightOrigin","(Intercept)","FlightNo_166:State_D",0.537321099352175,0.151871762627433
"79","FlightNumber:FlightOrigin","(Intercept)","FlightNo_167:State_D",-0.0642862279277688,0.158862641100289
"80","FlightNumber:FlightOrigin","(Intercept)","FlightNo_168:State_C",0.0399784592773109,0.174907690477704
"81","FlightNumber:FlightOrigin","(Intercept)","FlightNo_169:State_D",-0.0780173675676393,0.232978782706751
"82","FlightNumber:FlightOrigin","(Intercept)","FlightNo_17:State_E",-0.600672133491842,0.176275060304475
"83","FlightNumber:FlightOrigin","(Intercept)","FlightNo_170:State_F",0.463412427510866,0.231746668357404
"84","FlightNumber:FlightOrigin","(Intercept)","FlightNo_171:State_D",-0.20680334077108,0.318277968344543
"85","FlightNumber:FlightOrigin","(Intercept)","FlightNo_172:State_C",0.670687851145426,0.161875771108553
"86","FlightNumber:FlightOrigin","(Intercept)","FlightNo_173:State_C",-0.0107023429144839,0.334343436882689
"87","FlightNumber:FlightOrigin","(Intercept)","FlightNo_174:State_C",-0.234233373873614,0.260711866708528
"88","FlightNumber:FlightOrigin","(Intercept)","FlightNo_175:State_E",0.894775300291724,0.0906161434631686
"89","FlightNumber:FlightOrigin","(Intercept)","FlightNo_176:State_E",0.092580515810596,0.0889064437394789
"90","FlightNumber:FlightOrigin","(Intercept)","FlightNo_177:State_B",-0.351000890920537,0.316928920904292
"91","FlightNumber:FlightOrigin","(Intercept)","FlightNo_177:State_E",-0.00261684608477109,0.220540034748307
"92","FlightNumber:FlightOrigin","(Intercept)","FlightNo_178:State_F",0.220685813103752,0.362914153721254
"93","FlightNumber:FlightOrigin","(Intercept)","FlightNo_179:State_E",-0.402656401567896,0.256601543843658
"94","FlightNumber:FlightOrigin","(Intercept)","FlightNo_18:State_E",-0.433632998710887,0.240499779611673
"95","FlightNumber:FlightOrigin","(Intercept)","FlightNo_180:State_F",-0.0655996434628246,0.224272226782668
"96","FlightNumber:FlightOrigin","(Intercept)","FlightNo_181:State_E",0.800247675063792,0.185235084170252
"97","FlightNumber:FlightOrigin","(Intercept)","FlightNo_182:State_E",-0.0171407341544422,0.288848892355887
"98","FlightNumber:FlightOrigin","(Intercept)","FlightNo_183:State_B",-0.0215209789312944,0.127237037241867
"99","FlightNumber:FlightOrigin","(Intercept)","FlightNo_184:State_E",0.355271175998734,0.130163460106216
"100","FlightNumber:FlightOrigin","(Intercept)","FlightNo_185:State_E",-0.199480878302198,0.374334835889503
"101","FlightNumber:FlightOrigin","(Intercept)","FlightNo_186:State_E",0.00899297611777924,0.138028939958556
"102","FlightNumber:FlightOrigin","(Intercept)","FlightNo_187:State_E",0.277937385359707,0.151651650749685
"103","FlightNumber:FlightOrigin","(Intercept)","FlightNo_188:State_B",0.24268569026323,0.209150160710646
"104","FlightNumber:FlightOrigin","(Intercept)","FlightNo_189:State_E",0.103351051315497,0.285574486193345
"105","FlightNumber:FlightOrigin","(Intercept)","FlightNo_19:State_E",-0.234136964535429,0.0826137440607675
"106","FlightNumber:FlightOrigin","(Intercept)","FlightNo_190:State_E",-0.0909686505633806,0.255427445826837
"107","FlightNumber:FlightOrigin","(Intercept)","FlightNo_191:State_B",-0.063658500118841,0.39746796395332
"108","FlightNumber:FlightOrigin","(Intercept)","FlightNo_192:State_A",-0.155962140852143,0.196454620857616
"109","FlightNumber:FlightOrigin","(Intercept)","FlightNo_193:State_E",0.504749887691285,0.0950787237744433
"110","FlightNumber:FlightOrigin","(Intercept)","FlightNo_194:State_E",-0.0916655066815429,0.263852789973259
"111","FlightNumber:FlightOrigin","(Intercept)","FlightNo_195:State_B",0.222608620093384,0.122338922766929
"112","FlightNumber:FlightOrigin","(Intercept)","FlightNo_196:State_E",0.519319701329921,0.0971392024134817
"113","FlightNumber:FlightOrigin","(Intercept)","FlightNo_197:State_E",-0.222786840087743,0.275453824108482
"114","FlightNumber:FlightOrigin","(Intercept)","FlightNo_198:State_E",-0.0747181153834667,0.274254272151611
"115","FlightNumber:FlightOrigin","(Intercept)","FlightNo_199:State_E",-0.0184558843597847,0.406169862214892
"116","FlightNumber:FlightOrigin","(Intercept)","FlightNo_2:State_E",-0.107293791063626,0.149742132189169
"117","FlightNumber:FlightOrigin","(Intercept)","FlightNo_20:State_B",0.195079614651225,0.0944469984587725
"118","FlightNumber:FlightOrigin","(Intercept)","FlightNo_200:State_E",0.241731014673891,0.273092210956638
"119","FlightNumber:FlightOrigin","(Intercept)","FlightNo_201:State_C",-0.3624605270171,0.351922730061714
"120","FlightNumber:FlightOrigin","(Intercept)","FlightNo_202:State_C",-0.0449712879041718,0.314895198845479
"121","FlightNumber:FlightOrigin","(Intercept)","FlightNo_203:State_E",0.239127536955852,0.391393063798446
"122","FlightNumber:FlightOrigin","(Intercept)","FlightNo_204:State_E",0.573464749207127,0.342467288820365
"123","FlightNumber:FlightOrigin","(Intercept)","FlightNo_205:State_D",0.172085664297575,0.380403887471856
"124","FlightNumber:FlightOrigin","(Intercept)","FlightNo_206:State_D",0.209675223355066,0.239581122410899
"125","FlightNumber:FlightOrigin","(Intercept)","FlightNo_207:State_E",-0.103503116265545,0.363625348945292
"126","FlightNumber:FlightOrigin","(Intercept)","FlightNo_208:State_C",-0.0744405552310319,0.395491081907917
"127","FlightNumber:FlightOrigin","(Intercept)","FlightNo_209:State_B",-0.030342867788436,0.403824851343399
"128","FlightNumber:FlightOrigin","(Intercept)","FlightNo_21:State_B",0.00833734378898381,0.0897536370507064
"129","FlightNumber:FlightOrigin","(Intercept)","FlightNo_210:State_C",0.538162171368688,0.174849203634433
"130","FlightNumber:FlightOrigin","(Intercept)","FlightNo_211:State_E",-0.0484580712104306,0.400320473160941
"131","FlightNumber:FlightOrigin","(Intercept)","FlightNo_212:State_E",0.920026705116031,0.176401126819376
"132","FlightNumber:FlightOrigin","(Intercept)","FlightNo_22:State_E",-0.0809944175395397,0.0622399016677758
"133","FlightNumber:FlightOrigin","(Intercept)","FlightNo_23:State_E",-0.593038943785271,0.105452777974575
"134","FlightNumber:FlightOrigin","(Intercept)","FlightNo_24:State_E",0.115341391132779,0.0657503563050749
"135","FlightNumber:FlightOrigin","(Intercept)","FlightNo_25:State_F",-0.273183869012658,0.156482640972846
"136","FlightNumber:FlightOrigin","(Intercept)","FlightNo_26:State_C",-0.0251736751689889,0.0973137770257514
"137","FlightNumber:FlightOrigin","(Intercept)","FlightNo_27:State_B",-0.223514887316257,0.0848546072027485
"138","FlightNumber:FlightOrigin","(Intercept)","FlightNo_28:State_B",-0.0223805208350753,0.093947966962804
"139","FlightNumber:FlightOrigin","(Intercept)","FlightNo_29:State_E",-0.421834343620002,0.0822912795950379
"140","FlightNumber:FlightOrigin","(Intercept)","FlightNo_3:State_E",-0.349787835949828,0.113844623642802
"141","FlightNumber:FlightOrigin","(Intercept)","FlightNo_30:State_E",-0.346755663699379,0.104819798339789
"142","FlightNumber:FlightOrigin","(Intercept)","FlightNo_31:State_B",-0.707860286359584,0.131630936016919
"143","FlightNumber:FlightOrigin","(Intercept)","FlightNo_32:State_E",0.201308940344297,0.102574414607763
"144","FlightNumber:FlightOrigin","(Intercept)","FlightNo_33:State_D",-0.297110719427012,0.139276423085481
"145","FlightNumber:FlightOrigin","(Intercept)","FlightNo_34:State_E",-0.087690460459639,0.12959784451267
"146","FlightNumber:FlightOrigin","(Intercept)","FlightNo_35:State_E",-0.180788836751041,0.231137746570301
"147","FlightNumber:FlightOrigin","(Intercept)","FlightNo_36:State_E",-0.135473207688448,0.0948540284572729
"148","FlightNumber:FlightOrigin","(Intercept)","FlightNo_37:State_B",0.107865038091485,0.085213768077528
"149","FlightNumber:FlightOrigin","(Intercept)","FlightNo_38:State_E",0.0295051863405268,0.0831704361679092
"150","FlightNumber:FlightOrigin","(Intercept)","FlightNo_39:State_C",0.109084344758403,0.313686782043121
"151","FlightNumber:FlightOrigin","(Intercept)","FlightNo_39:State_E",0.046763074937041,0.0794736762999526
"152","FlightNumber:FlightOrigin","(Intercept)","FlightNo_4:State_B",-0.405608606733594,0.112648464307726
"153","FlightNumber:FlightOrigin","(Intercept)","FlightNo_40:State_E",0.406814114816437,0.0557799170882993
"154","FlightNumber:FlightOrigin","(Intercept)","FlightNo_41:State_E",0.0144374936652134,0.0674743900817226
"155","FlightNumber:FlightOrigin","(Intercept)","FlightNo_42:State_B",0.345470337261389,0.0795173532937117
"156","FlightNumber:FlightOrigin","(Intercept)","FlightNo_43:State_E",0.484231692884005,0.0722927561535579
"157","FlightNumber:FlightOrigin","(Intercept)","FlightNo_44:State_C",-0.0267134897443753,0.0913523305080038
"158","FlightNumber:FlightOrigin","(Intercept)","FlightNo_45:State_E",0.121767309845877,0.0608344296555787
"159","FlightNumber:FlightOrigin","(Intercept)","FlightNo_47:State_B",-0.015894104139525,0.144276053125032
"160","FlightNumber:FlightOrigin","(Intercept)","FlightNo_48:State_E",-0.0931079991051522,0.0673834278784386
"161","FlightNumber:FlightOrigin","(Intercept)","FlightNo_49:State_E",-0.16612164665261,0.0743011092703781
"162","FlightNumber:FlightOrigin","(Intercept)","FlightNo_5:State_E",0.00856814693373562,0.380718671223366
"163","FlightNumber:FlightOrigin","(Intercept)","FlightNo_50:State_E",-0.449517044191721,0.146890726201373
"164","FlightNumber:FlightOrigin","(Intercept)","FlightNo_51:State_E",-0.643615101738557,0.157287014977884
"165","FlightNumber:FlightOrigin","(Intercept)","FlightNo_52:State_E",-0.0822746363791736,0.0817002080387248
"166","FlightNumber:FlightOrigin","(Intercept)","FlightNo_53:State_E",0.479077228318436,0.114936658078814
"167","FlightNumber:FlightOrigin","(Intercept)","FlightNo_54:State_C",0.131025415663169,0.119981911266454
"168","FlightNumber:FlightOrigin","(Intercept)","FlightNo_55:State_E",-0.852136383766329,0.177536886685063
"169","FlightNumber:FlightOrigin","(Intercept)","FlightNo_56:State_E",-1.09579786184868,0.193723590204025
"170","FlightNumber:FlightOrigin","(Intercept)","FlightNo_57:State_B",-0.35662637774678,0.111670907260654
"171","FlightNumber:FlightOrigin","(Intercept)","FlightNo_58:State_E",-0.665157798034136,0.175332307103004
"172","FlightNumber:FlightOrigin","(Intercept)","FlightNo_59:State_B",-0.807515194138031,0.139459682585734
"173","FlightNumber:FlightOrigin","(Intercept)","FlightNo_6:State_C",0.236031475161476,0.0908496225703161
"174","FlightNumber:FlightOrigin","(Intercept)","FlightNo_60:State_B",0.0012985624198479,0.262246200656396
"175","FlightNumber:FlightOrigin","(Intercept)","FlightNo_61:State_E",-0.777156954537576,0.187042948810469
"176","FlightNumber:FlightOrigin","(Intercept)","FlightNo_62:State_C",-0.288938540285861,0.127670247205435
"177","FlightNumber:FlightOrigin","(Intercept)","FlightNo_63:State_E",-0.830675753805023,0.145204521128041
"178","FlightNumber:FlightOrigin","(Intercept)","FlightNo_64:State_E",-0.835983282011455,0.143880478930526
"179","FlightNumber:FlightOrigin","(Intercept)","FlightNo_65:State_E",-0.318749564330113,0.149369843067875
"180","FlightNumber:FlightOrigin","(Intercept)","FlightNo_66:State_B",0.23038706584308,0.0886699280974056
"181","FlightNumber:FlightOrigin","(Intercept)","FlightNo_67:State_C",0.0871713831736013,0.103636092542327
"182","FlightNumber:FlightOrigin","(Intercept)","FlightNo_68:State_C",-0.298616674331161,0.100937407991645
"183","FlightNumber:FlightOrigin","(Intercept)","FlightNo_69:State_F",0.27723732344052,0.135604427410389
"184","FlightNumber:FlightOrigin","(Intercept)","FlightNo_7:State_E",0.513818088824264,0.0557158026531862
"185","FlightNumber:FlightOrigin","(Intercept)","FlightNo_70:State_E",0.274071590204767,0.174343179827573
"186","FlightNumber:FlightOrigin","(Intercept)","FlightNo_71:State_E",-0.371740006695158,0.330675169590561
"187","FlightNumber:FlightOrigin","(Intercept)","FlightNo_72:State_C",0.367056552173806,0.204665959414713
"188","FlightNumber:FlightOrigin","(Intercept)","FlightNo_73:State_E",0.231847268910906,0.190141956069779
"189","FlightNumber:FlightOrigin","(Intercept)","FlightNo_74:State_E",0.45924734928183,0.172238823199507
"190","FlightNumber:FlightOrigin","(Intercept)","FlightNo_75:State_E",0.130895295989803,0.0686857362788476
"191","FlightNumber:FlightOrigin","(Intercept)","FlightNo_76:State_E",-0.217425377118988,0.143479873704939
"192","FlightNumber:FlightOrigin","(Intercept)","FlightNo_77:State_C",-0.525562746788989,0.140242370517403
"193","FlightNumber:FlightOrigin","(Intercept)","FlightNo_78:State_E",0.050356791033842,0.120201353623973
"194","FlightNumber:FlightOrigin","(Intercept)","FlightNo_79:State_B",0.520875500218648,0.0832340264583127
"195","FlightNumber:FlightOrigin","(Intercept)","FlightNo_8:State_E",-0.047614341884447,0.062314754290055
"196","FlightNumber:FlightOrigin","(Intercept)","FlightNo_80:State_E",-0.0801437220398994,0.234749582443926
"197","FlightNumber:FlightOrigin","(Intercept)","FlightNo_81:State_B",-0.0969277127762565,0.39142246895942
