"","Detec","Detec_lci","Detec_uci"
"(Intercept)",-1.56142386158853,-1.98508095883733,-1.13776676433973
"LocationAirport_B",-0.240770471545626,-0.691842413017061,0.210301469925808
"LocationAirport_C",-0.434167820459204,-0.852003365942623,-0.0163322749757844
"LocationAirport_D",-0.24338226086853,-0.657237036419392,0.170472514682333
"LocationAirport_E",-0.483462482911339,-0.937486464953905,-0.0294385008687733
"LocationAirport_F",-1.857867395587,-2.3799202220167,-1.33581456915731
"RegimeBI x 2",-0.145711296556307,-0.248444785247757,-0.0429778078648569
"RegimeDDT",1.37154958603702,1.32187111221314,1.4212280598609
"RegimeDDT + BI",1.27386438993407,1.22010596924081,1.32762281062734
"RegimeDDT x2",1.60147567389236,1.5407244616814,1.66222688610332
"sqrt.BagSearchCount.Z",0.208288726991931,0.201871975252754,0.214705478731108
"sqrt.PassengerCount.Z",0.592922582049627,0.566645951496645,0.619199212602609
